original,corrected
فهمیده_بود,فهمیده بود
زده_بود,زده بود
عجیبتر,عجیب تر
خواهی_رفت,خواهی رفت
بجا,به جا
ثروتمندترین,ثروت مند ترین
ریشهکنی,ریشه کنی
نمیشن,نمی شن
بانكها,بانك ها
یاتا,یا تا
پاکه,پا که
بهای,بها ی
خبرهای,خبر ها ی
ناخوش,نا خوش
بعنوان,به عنوان
اسباببازی,اسباب بازی
وقتگذرانی,وقت گذرانی
باهامون,با ها مون
میرفتیم,می رفتیم
راهحلها,راه حل ها
فوقالعادهای,فوق العاده ای
پروندههاست,پرونده ها ست
توسعهدهنده,توسعه دهنده
مایه,ما یه
بینشون,بین شون
هرچه,هر چه
پذیرتر,پذیر تر
نمیخواهیم,نمی خواهیم
نخواهد_شد,نخواهد شد
بزرگواریهای,بزرگواری های
غیرممکن,غیر ممکن
جستوجو,جستجو
مردهای,مرد ها ی
اسلایدهای,اسلاید ها ی
نمیکنم--,نمی کنم 
میگذاره,می گذاره
نداشتهاند,نداشته اند
ندیده_بودم,ندیده بودم
نمیندازیم,نمی ندازیم
ارتباطشان,ارتباط شان
والدینشان,والدین شان
رنگها,رنگ ها
مدادهایی,مداد ها یی
دیده_ام,دیده ام
هرچیزی,هر چیزی
گستاخانهی,گستاخانه ی
رسیده_بود,رسیده بود
میشدند,می شدند
موتورهای,موتور های
مدیرعاملان,مدیرعاملان
آرزوهایم,آرزو ها یم
دژها,دژ ها
انعطافپذيرى,انعطاف پذيرى
دریاچهها,دریاچه ها
فلاتهای,فلات ها ی
زیباتر,زیبا تر
جذابترین,جذاب ترین
نمیاره,نمی اره
بعدازظهر,بعد از ظهر
بلکراک,بلک راک
نامههای,نامه های
بلندتر,بلند تر
نمیخوابه,نمی خوابه
یکدست,یک دست
دیدهام,دید ها م
برنامهها,برنامه ها
شدواجناس,شد و اجناس
دانشجوهای,دانشجو ها ی
غیرسفید,غیر سفید
مهنازخانم,مهناز خانم
آماده_خواهد_شد,آماده خواهد شد
ظهرها,ظهر ها
نمیخورد,نمی خورد
بطوریکه,به طوری که
مدادهای,مداد ها ی
میگیره,می گیره
حلقههای,حلقه ها ی
هواتو,هوات رو
اسبسوار,اسب سوار
میفهمم,می فهمم
زوجهاش,زوجه اش
بوده_است,بوده است
شیرهمالی,شیره مالی
واژهی,واژه ی
ویژگیهایی,ویژگی ها یی
ناتوانی,نا توانی
همونطور,همون طور
زیستشناس,زیست شناس
کفشهام,کفش ها م
روایتهای,روایت ها ی
نوشتهاند,نوشته اند
قطرهای,قطره های
شگفتانگیز,شگفت انگیز
برادرهایش,برادر ها یش
گرفته_است,گرفته است
گرفته_بود,گرفته بود
میکنید,می کنید
میدونیم,می دونیم
پایینمونم,پا یینمونم
تحتالشعاع,تحت الشعاع
انسانها,انسان ها
کفارهی,کفاره ی
خواهد_خورد,خواهد خورد
خواهم_مقداری,خواهم مقداری
میتونم,می تونم
مونده_بود,مونده بود
علاقهای,علاقه ای
میگوییم,می گوییم
حاملگیهای,حاملگی های
مواجهاند,مواجه اند
الودگیهای,الودگی های
پدرشونو,پدر شون رو
دستنوشته,دست نوشته
طبقهی,طبقه ی
لذتهای,لذت های
توکلاسمون,تو کلاسمون
پسراهل,پسر اهل
گرفتهایم,گرفته ایم
خواهد_؟,خواهد ؟
نشده_است,نشده است
غیرمنصفانه,غیر منصفانه
نمایشهای,نمایش های
نخواهی_شناخت,نخواهی شناخت
رنجآور,رنج آور
جورآدمیه,جور آدمیه
دربارهاش,درباره اش
نمیشناخت,نمی شناخت
نمیاری,نمی اری
میذاشتم,می ذاشتم
همینطور,همین طور
بازگرداندن,باز گرداندن
خواهم_بلیط,خواهم بلیط
گزیده_شده_ام,گزیده شده ام
پوشیده_بود,پوشیده بود
یکماه,یک ماه
دیرتر,دیر تر
کلاسهات,کلاس هات
غیرقانونی,غیر قانونی
توفان,طوفان
حاال,حال
کمکهات-,کمک ها ت
مهارتهایی,مهارت ها یی
نابخردانه,نا به خردانه
پرچمها,پرچم ها
میخاست,می خاست
وهمکارانم,و همکارانم
الکترودهایی,الکترود ها یی
میترسونه,می ترسونه
کيسهاى,کيسه اى
نمیداره,نم یداره
نخواهد_افتاد,نخواهد افتاد
انداخته_بودم,انداخته بودم
الگوهای,الگو ها ی
همینجور,همین جور
امااین,اما این
صدتا,صد تا
لايههاى,لايه هاى
نیرومند,نیرو مند
سیگارهای,سیگار های
نشسته_بودم,نشسته بودم
انگلیسیها,انگلیسی ها
اسکاتلندیها,اسکاتلندی ها
ترنهای,ترن های
رسانهها,رسانه ها
بدهکاریهای,بدهکاری های
سرهم,سر هم
برادرها,برادر ها
میدادند,می دادند
معدهی,معده ی
بداههکاری,بداهه کاری
شناخته_شده_است,شناخته شده است
کامیونرانی,کامیون رانی
سایههای,سایه های
میكنم,می كنم
درکنارتخت,در کنار تخت
پناهندهها,پناهنده ها
خودروهاى,خودرو هاى
سوختهای,سوخت های
فعالیتهای,فعالیت های
کمترین,کم ترین
توپخانهای,توپخانه ای
هدفگیری,هدف گیری
جنگلهای,جنگل های
جامهی,جامه ی
کرده_اید,کرده اید
همپیمانی,هم پیمانی
فرصتها,فرصت ها
دربیاورید,در بیاورید
چهارراه,چهار راه
ستونهای,ستون ها ی
میلههای,میله ها ی
بیعدالتیها,بی عدالتی ها
مرامنامهی,مرام نامه ی
دانشمند,دانش مند
میگشت,می گشت
زدنها,زدن ها
بهتراست,بهتر است
ایدهپردازی,ایده پردازی
ساکتتری,ساکت تر ی
خواهم_از,خواهم از
نافرهیخته,نا فرهیخته
ایستاده_بود,ایستاده بود
ودستگاه,و دستگاه
رابه,را به
شدندکه,شدند که
غیرحساس,غیر حساس
توهینآمیز,توهین آمیز
رشتهام,رشته ام
باتجربه,با تجربه
گلدانهای,گلدان های
بیشترین,بیش ترین
نمیدهند,نمی دهند
تحولآمیز,تحول آمیز
هزینهی,هزینه ی
قلمروهای,قلمرو های
نمیبینن,نمی بینن
میگشتند,می گشتند
مسوولیتهای,مسوولیت های
مهراتهای,مهراتهای
هزارها,هزار ها
هاست,ها ست
میاننسلی,میان نسلی
دادههایمان,داده ها ی مان
آنانرا,آنان را
ماشینو,ماشین رو
سگهای,سگ های
گفته_بودم,گفته بودم
نمیکنید,نمی کنید
باحجاب,با حجاب
میشدن,می شدن
خواهد_رسید,خواهد رسید
خواهند_داد,خواهند داد
درموردت,در موردت
مادرشوهردارم,مادر شوهر دارم
اوناکه,اونا که
کارها,کار ها
رفته_بودم,رفته بودم
صخرهنوردی,صخره نوردی
برآیید,بر آیید
تلفنهای,تلفن های
ناخنهاش,ناخن ها ش
چونکه,چون که
آمادهاند,آماده اند
بینظمی,بی نظمی
نیامدهام,نیامده ام
گردهمآیی,گرد هم آیی
میبینن,می بینن
میآورد,می آورد
کسانیکه,کسانی که
نمودهاند,نموده اند
دوپهلو,دو پهلو
برتر,بر تر
میلرزونه,می لرزونه
روسها,روس ها
مسئولیتهای,مسئولیت های
زیرنظر,زیر نظر
خواهد_گرفت,خواهد گرفت
تجربهای,تجربه ای
حملهی,حمله ی
خواهی_بروی,خواهی بروی
خواهید_منتظر,خواهید منتظر
خواهم_پول,خواهم پول
میبرم,می برم
شناکردن,شنا کردن
میریخت,می ریخت
پایینتر,پایین تر
بهطرف,به طرف
راپرسیدن,را پرسیدن
میپرسن,می پرسن
میبینی,می بینی
میاندازد,می اندازد
میروید,می روید
تاچشم,تا چشم
اسفندماه,اسفند ماه
مینویسد,می نویسد
انگلها,انگل ها
مینویسید,می نویسید
سرجاشه,سر جاشه
ضربههاى,ضربه هاى
خواهم_شست,خواهم شست
زده_ام,زده ام
سیستمهای,سیستم های
آیندهاش,آینده اش
بودواقعا,بود واقعا
مقالهای,مقاله ای
چاپشده,چاپ شده
میاندازند,می اندازند
میخونه,می خونه
ازدوستانش,از دوستانش
آدمربایان,آدم ربایان
نمیماند,نمی ماند
میکشد,می کشد
وظیفهش,وظیفه ش
سروقت,سر وقت
روبهرویشان,رو به رویشان
میخورن,می خورن
وابستگیهای,وابستگی های
نردهدار,نرده دار
سیبهای,سیب های
دربطری,در بطری
بازکن,باز کن
چندشب,چند شب
میدزدند,می دزدند
میخندم,می خندم
پاروها,پارو ها
چندسال,چند سال
میاید,می اید
میفروشد,می فروشد
میتونین,می تونین
شدیدتر,شدید تر
بلیت,بلیط
بیانتها,بیانت ها
راحتتر,راحت تر
همپیمانان,هم پیمانان
بیمهره,بی مهره
برنامهت,برنامه ت
خفهمون,خفه مون
نیازهایشان,نیاز ها یشان
تاحالا,تا حالا
ناشکری,نا شکری
برنامههای,برنامه های
چانهزد,چانه زد
میفهمد,می فهمد
امیراحسان,امیر احسان
انتخابهام,انتخاب هام
میکردیم,می کردیم
منظورشان,منظور شان
پارکها,پارک ها
فضاهای,فضا های
ریههای,ریه های
کاملیاست,کاملی است
دوساعت,دو ساعت
سرمایهگذارهای,سرمایه گذار های
پخته_است,پخته است
چیزها,چیز ها
آموختهام,آموخته ام
نامحدود,نا محدود
میترسند,می ترسند
مصیبتزده,مصیبت زده
پرغلغلهتان,پر غلغله تان
میسازه,می سازه
مخالفتهایی,مخالفت هایی
میکاهد,می کاهد
هوشمند,هوش مند
نکرده_بود,نکرده بود
